"StartTime","EndTime","EpisodeId","EventId","State","EventType","InjuriesDirect","InjuriesIndirect","DeathsDirect","DeathsIndirect","DamageProperty","DamageCrops","Source","BeginLocation","EndLocation","BeginLat","BeginLon","EndLat","EndLon","EpisodeNarrative","EventNarrative","StormSummary"
"2007-09-29 08:11:00.0000000","2007-09-29 08:11:00.0000000","11091","61032","ATLANTIC SOUTH","Waterspout","0","0","0","0","0","0","Trained Spotter","MELBOURNE BEACH","MELBOURNE BEACH","28.0393","-80.6048","28.0393","-80.6048","Showers and thunderstorms lingering along the coast produced waterspouts in Brevard County.","A waterspout formed in the Atlantic southeast of Melbourne Beach and briefly moved toward shore.","{""TotalDamages"":0,""StartTime"":""2007-09-29T08:11:00.0000000Z"",""EndTime"":""2007-09-29T08:11:00.0000000Z"",""Details"":{""Description"":""A waterspout formed in the Atlantic southeast of Melbourne Beach and briefly moved toward shore."",""Location"":""ATLANTIC SOUTH""}}"
"2007-09-18 20:00:00.0000000","2007-09-19 18:00:00.0000000","11074","60904","FLORIDA","Heavy Rain","0","0","0","0","0","0","Trained Spotter","ORMOND BEACH","NEW SMYRNA BEACH","29.28","-81.05","29.02","-80.93","Thunderstorms lingered over Volusia County.","As much as 9 inches of rain fell in a 24-hour period across parts of coastal Volusia County.","{""TotalDamages"":0,""StartTime"":""2007-09-18T20:00:00.0000000Z"",""EndTime"":""2007-09-19T18:00:00.0000000Z"",""Details"":{""Description"":""As much as 9 inches of rain fell in a 24-hour period across parts of coastal Volusia County."",""Location"":""FLORIDA""}}"
"2007-09-20 21:57:00.0000000","2007-09-20 22:05:00.0000000","11078","60913","FLORIDA","Tornado","0","0","0","0","6200000","0","NWS Storm Survey","EUSTIS","EUSTIS","28.8368","-81.6763","28.8628","-81.6846","As Tropical Depression number 10 began to slowly organize in the Gulf of Mexico, low level rotation allowed numerous strong mesocyclones to track north over western Orange and northern Lake counties.","A tornado touched down in the Town of Eustis at the northern end of West Crooked Lake. The tornado quickly intensified to EF1 strength as it moved north northwest through Eustis. The track was just under two miles long and had a maximum width of 300 yards.  The tornado destroyed 7 homes. Twenty seven homes received major damage and 81 homes reported minor damage. There were no serious injuries and property damage was set at $6.2 million.","{""TotalDamages"":6200000,""StartTime"":""2007-09-20T21:57:00.0000000Z"",""EndTime"":""2007-09-20T22:05:00.0000000Z"",""Details"":{""Description"":""A tornado touched down in the Town of Eustis at the northern end of West Crooked Lake. The tornado quickly intensified to EF1 strength as it moved north northwest through Eustis. The track was just under two miles long and had a maximum width of 300 yards.  The tornado destroyed 7 homes. Twenty seven homes received major damage and 81 homes reported minor damage. There were no serious injuries and property damage was set at $6.2 million."",""Location"":""FLORIDA""}}"
"2007-12-30 16:00:00.0000000","2007-12-30 16:05:00.0000000","11749","64588","GEORGIA","Thunderstorm Wind","0","0","0","0","2000","0","Law Enforcement","LOTTS","LOTTS","31.56","-82.89","31.56","-82.89","An area of low pressure developed near the central Gulf coast states and tracked northeast along a nearly stationary front across south Georgia during the late afternoon of December 30th.  Pre-frontal storms developed across south Georgia where surface based lifted indices were near -2 to -3. Storms had persistent mesocyclone rotations and several storms developed bow echo signatures with outbound velocities around 40 to 50 knots along the leading edge of the bow around 3-4 kft above ground level prior to warning issuance.","The county dispatch reported several trees were blown down along Quincey Batten Loop near State Road 206. The cost of tree removal was estimated.","{""TotalDamages"":2000,""StartTime"":""2007-12-30T16:00:00.0000000Z"",""EndTime"":""2007-12-30T16:05:00.0000000Z"",""Details"":{""Description"":""The county dispatch reported several trees were blown down along Quincey Batten Loop near State Road 206. The cost of tree removal was estimated."",""Location"":""GEORGIA""}}"
"2007-12-20 07:50:00.0000000","2007-12-20 07:53:00.0000000","12554","68796","MISSISSIPPI","Thunderstorm Wind","0","0","0","0","20000","0","Emergency Manager","CRANFIELD","LEESDALE","31.54","-91.21","31.5452","-91.1948","A small, but potent, storm system evolved and moved east across the region during the first half of the day. A large MCV (meso-scale convective vortex) developed across Central Louisiana during the morning hours and moved east adding an extra kick to the atmosphere and aided in generating a line of severe thunderstorms which produced five tornadoes and wind damage. All the severe weather was confined to the southern areas, generally along Highway 84, and extended from Natchez to Brookhaven to Laurel.","Numerous large trees were blown down with some down on power lines. Damage occurred in eastern Adams county.","{""TotalDamages"":20000,""StartTime"":""2007-12-20T07:50:00.0000000Z"",""EndTime"":""2007-12-20T07:53:00.0000000Z"",""Details"":{""Description"":""Numerous large trees were blown down with some down on power lines. Damage occurred in eastern Adams county."",""Location"":""MISSISSIPPI""}}"
"2007-12-20 10:32:00.0000000","2007-12-20 10:36:00.0000000","12554","68814","MISSISSIPPI","Tornado","2","0","0","0","450000","0","NWS Storm Survey","SERVICE","SERVICE","31.6879","-89.2756","31.7085","-89.2538","A small, but potent, storm system evolved and moved east across the region during the first half of the day. A large MCV (meso-scale convective vortex) developed across Central Louisiana during the morning hours and moved east adding an extra kick to the atmosphere and aided in generating a line of severe thunderstorms which produced five tornadoes and wind damage. All the severe weather was confined to the southern areas, generally along Highway 84, and extended from Natchez to Brookhaven to Laurel.","This tornado began as a small, narrow path of minor damage, including a porch being blown off a house. It reached its maximum intensity as it crossed highway 29. Here, a brick home had all of its roof structure blown off along with a few walls blown down. Three mobile homes were rolled or tossed and destroyed, with debris strewn downstream along the path. Numerous trees were snapped off or uprooted. The last damage occurred along Leroy Hill Road. A home suffered significant roof damage, an outbuilding was destroyed, a car suffered major damage, and numerous large trees were snapped or uprooted. The tornado dissipated shortly after crossing Leroy Hill Road with only a few trees snapped at the end of the path.","{""TotalDamages"":450000,""StartTime"":""2007-12-20T10:32:00.0000000Z"",""EndTime"":""2007-12-20T10:36:00.0000000Z"",""Details"":{""Description"":""This tornado began as a small, narrow path of minor damage, including a porch being blown off a house. It reached its maximum intensity as it crossed highway 29. Here, a brick home had all of its roof structure blown off along with a few walls blown down. Three mobile homes were rolled or tossed and destroyed, with debris strewn downstream along the path. Numerous trees were snapped off or uprooted. The last damage occurred along Leroy Hill Road. A home suffered significant roof damage, an outbuilding was destroyed, a car suffered major damage, and numerous large trees were snapped or uprooted. The tornado dissipated shortly after crossing Leroy Hill Road with only a few trees snapped at the end of the path."",""Location"":""MISSISSIPPI""}}"
"2007-12-20 08:47:00.0000000","2007-12-20 08:48:00.0000000","12554","68834","MISSISSIPPI","Thunderstorm Wind","0","0","0","0","60000","0","Emergency Manager","BROOKHAVEN","BROOKHAVEN","31.5613","-90.5095","31.5613","-90.499","A small, but potent, storm system evolved and moved east across the region during the first half of the day. A large MCV (meso-scale convective vortex) developed across Central Louisiana during the morning hours and moved east adding an extra kick to the atmosphere and aided in generating a line of severe thunderstorms which produced five tornadoes and wind damage. All the severe weather was confined to the southern areas, generally along Highway 84, and extended from Natchez to Brookhaven to Laurel.","Several trees and power lines were blown down along Zetus Road in the Zetus Community. A few of those trees were down on a mobile home which caused significant damage.","{""TotalDamages"":60000,""StartTime"":""2007-12-20T08:47:00.0000000Z"",""EndTime"":""2007-12-20T08:48:00.0000000Z"",""Details"":{""Description"":""Several trees and power lines were blown down along Zetus Road in the Zetus Community. A few of those trees were down on a mobile home which caused significant damage."",""Location"":""MISSISSIPPI""}}"
"2007-12-28 02:03:00.0000000","2007-12-28 02:11:00.0000000","12561","68846","MISSISSIPPI","Hail","0","0","0","0","0","0","Public","FRENCH CAMP","WEIR","33.2907","-89.3906","33.3568","-89.28","A complex storm system took shape at the end of December and brought a round of elevated hail storms to the region. The hail storms occurred as a warm front and deeper moisture surged northward during the early morning hours, generally between 1 and 6 am and were scattered about the forecast area. The hail stones ranged between penny and quarter size and caused little to no damage.","A swath of penny to quarter sized hail fell from just east of French Camp to about 6 miles north of Weir.","{""TotalDamages"":0,""StartTime"":""2007-12-28T02:03:00.0000000Z"",""EndTime"":""2007-12-28T02:11:00.0000000Z"",""Details"":{""Description"":""A swath of penny to quarter sized hail fell from just east of French Camp to about 6 miles north of Weir."",""Location"":""MISSISSIPPI""}}"
"2007-12-07 14:00:00.0000000","2007-12-08 04:00:00.0000000","13183","73241","AMERICAN SAMOA","Flash Flood","0","0","0","0","250000","250000","Official NWS Observations","PAGO PAGO","PAGO PAGO","-14.3","-170.6","-14.2577","-170.5669","A monsoon trough that extends all the way from the Solomon Islands southeastward to just south of the Samoa Group spread heavy rain and thunderstorms across the islands over the weekend.","The heavy rain from an active monsoonal trough that had been nearly stationary just to the south of the islands caused widespread flooding across Tutuila.  Flash Flooding was reported from the Malaeimi Valley to the Bay Area.  Heavy showers and runoffs overflowed most streams from Faganeanea to Pago Pago and dumped lots of debris and rocks on the roads.  The the X-Ray room and part of the Surgical Ward at the LBJ Medical Center was flooded as the jammed and clogged up Fagaalu stream force all the water and mud onto the hospital parking lot into part of the hospital.  Forunately, the hospital had taken all necessary precautions avoiding a major disasters in protecting lives and properties.  The National Weather Service had a Flash Flood Warning, which gave enough time for the public to prepare for the flooding.","{""TotalDamages"":500000,""StartTime"":""2007-12-07T14:00:00.0000000Z"",""EndTime"":""2007-12-08T04:00:00.0000000Z"",""Details"":{""Description"":""The heavy rain from an active monsoonal trough that had been nearly stationary just to the south of the islands caused widespread flooding across Tutuila.  Flash Flooding was reported from the Malaeimi Valley to the Bay Area.  Heavy showers and runoffs overflowed most streams from Faganeanea to Pago Pago and dumped lots of debris and rocks on the roads.  The the X-Ray room and part of the Surgical Ward at the LBJ Medical Center was flooded as the jammed and clogged up Fagaalu stream force all the water and mud onto the hospital parking lot into part of the hospital.  Forunately, the hospital had taken all necessary precautions avoiding a major disasters in protecting lives and properties.  The National Weather Service had a Flash Flood Warning, which gave enough time for the public to prepare for the flooding."",""Location"":""AMERICAN SAMOA""}}"
"2007-12-13 09:02:00.0000000","2007-12-13 10:30:00.0000000","11780","64725","KENTUCKY","Flood","0","0","0","0","1000","0","Law Enforcement","VANCEBURG","VANCEBURG","38.5591","-83.1976","38.5795","-83.2238","Heavy rainfall caused minor flooding in northeast Kentucky during the morning.","State Route 8 and Rock Run Road were flooded and impassable.","{""TotalDamages"":1000,""StartTime"":""2007-12-13T09:02:00.0000000Z"",""EndTime"":""2007-12-13T10:30:00.0000000Z"",""Details"":{""Description"":""State Route 8 and Rock Run Road were flooded and impassable."",""Location"":""KENTUCKY""}}"
